Core 1,Core 2,Latency (Nanoseconds)
0,0,0
0,1,124
0,2,123
0,3,131
0,4,27
0,5,128
0,6,127
0,7,142
1,0,124
1,1,0
1,2,119
1,3,133
1,4,122
1,5,27
1,6,121
1,7,126
2,0,123
2,1,119
2,2,0
2,3,124
2,4,116
2,5,120
2,6,27
2,7,126
3,0,131
3,1,133
3,2,124
3,3,0
3,4,141
3,5,133
3,6,132
3,7,29
4,0,27
4,1,122
4,2,116
4,3,141
4,4,0
4,5,121
4,6,128
4,7,130
5,0,128
5,1,27
5,2,120
5,3,133
5,4,121
5,5,0
5,6,118
5,7,125
6,0,127
6,1,121
6,2,27
6,3,132
6,4,128
6,5,118
6,6,0
6,7,193
7,0,142
7,1,126
7,2,126
7,3,29
7,4,130
7,5,125
7,6,193
7,7,0
